no,ELE,SLP,TMP,PPT,AREA
AT_0000174,1296.05,4.81,6.58,1320.59,6214
AT_0000176,1745.68,5.44,4.39,1709.42,377.9
AT_0000178,1787.37,5.68,4.4,1767.34,77.1
BR_0000008,1286.53,2.71,21.67,2008.09,874000
BR_0000009,151.05,0.17,26.51,2460.91,16500
BR_0000011,135.62,0.16,26.43,2571.52,61400
BR_0000014,141.38,0.2,26.23,2543.63,36900
BR_0000015,1134.87,2.37,22,2058.83,1010000
BR_0000016,234.42,0.42,26.07,3037.15,106000
BR_0000018,1033.27,2.19,22.39,2111.62,1130000
BR_0000024,115.33,0.15,26.3,2610.95,64400
BR_0000025,309.16,0.25,25.2,1623.69,7690
BR_0000028,281.63,0.36,25.91,2138.7,1030
BR_0000030,255.35,0.21,25.6,1799.05,37800
BR_0000032,237.94,0.19,25.65,1864.68,56100
BR_0000035,223.19,0.19,25.77,1986.13,77300
BR_0000040,244.6,0.23,25.73,1957.36,49700
BR_0000041,222.01,0.2,25.74,2058.83,144000
BR_0000042,207.81,0.19,25.98,2210.15,164000
BR_0000044,259.76,0.56,25.9,2998.09,249000
BR_0000050,728.69,1.5,23.75,2204.92,1780000
BR_0000059,257.6,0.23,25.45,1874.26,63100
BR_0000061,285.76,0.23,25.22,1699.06,7020
BR_0000062,277.08,0.25,25.3,1696.37,8270
BR_0000065,236.37,0.25,25.64,1723.37,23500
BR_0000068,235.83,0.23,25.62,1865.73,105000
BR_0000071,210.05,0.22,25.74,1994.48,154000
BR_0000079,174.2,0.18,26.04,2061.64,236000
BR_0000086,614.07,1.28,24.15,2188.67,2200000
BR_0000087,219.07,0.5,26.46,3124.61,74300
BR_0000088,152.14,0.19,26.7,3370.97,4600
BR_0000089,147.84,0.2,26.7,3411.87,23600
BR_0000090,181.61,0.35,26.45,3113.73,124000
BR_0000091,202.15,0.22,26.19,2942.3,40200
BR_0000092,193.6,0.21,26.24,3011.98,44300
BR_0000093,156.63,0.12,26.06,3255.15,1970
BR_0000096,174.9,0.29,26.36,2977.25,194000
BR_0000097,95.26,0.13,26.14,3263.84,13100
BR_0000099,151.46,0.36,26.38,2962.68,293000
BR_0000102,199.87,1.45,26.09,2521.81,6800
BR_0000103,194.1,0.96,26.18,2274.65,16900
BR_0000109,476.22,1.12,25.08,2535.63,36900
BR_0000111,406.36,1.01,25.23,2442.35,50200
BR_0000112,184.06,0.55,27.16,1795.37,9860
BR_0000118,754.26,2.01,23.2,2002.57,5780
BR_0000123,381.5,0.88,25.78,2389.37,12200
BR_0000124,290.48,0.7,26.04,2276.59,19800
BR_0000125,339.56,0.92,25.08,2306.52,126000
BR_0000130,499.47,1.06,24.34,2227.18,2930000
BR_0000132,90.11,0.31,27.73,2373.67,976
BR_0000133,473.76,0.8,25.52,1527.04,2990
BR_0000136,338.72,0.67,25.75,1465.03,54400
BR_0000137,281.77,0.53,25.72,1408.6,110000
BR_0000143,943.63,1.69,21.24,1323.61,227000
BR_0000150,2152.84,6.19,16.68,1256.37,70000
BR_0000153,1104.07,2.78,17.71,1426.11,244000
BR_0000155,990.4,2.5,18.43,1461.17,281000
BR_0000158,657.87,1.36,21.19,1313.12,921000
BR_0000165,629.96,1.32,21.61,1377.14,976000
BR_0000166,223.39,0.59,26.14,1947.13,8140
BR_0000167,163.76,0.3,26.3,2099.72,988
BR_0000177,144.16,0.3,26.32,2095.54,12700
BR_0000179,381.32,0.51,25.55,1720.44,4360
BR_0000184,319.65,0.51,25.82,1633.9,10100
BR_0000186,281.32,0.42,26,1704,32800
BR_0000187,236.95,0.48,26.15,1868.92,3960
BR_0000193,234.5,0.4,26.15,1908.54,60200
BR_0000195,585.54,1.17,22.07,1458.04,1090000
BR_0000200,559.29,1.14,22.63,1580.43,1150000
BR_0000201,326.02,0.52,26.08,1866.2,15200
BR_0000204,187.6,0.41,26.31,2003.81,70100
BR_0000212,151.04,0.44,26.63,2102.92,12700
BR_0000244,468.3,1,23.99,2012.68,4670000
BR_0000246,340.9,0.5,26.55,2313.16,19800
BR_0000252,477.54,0.53,25.49,1806.2,55900
BR_0000253,385.63,0.38,25.67,1958.17,24700
BR_0000257,370.71,0.4,25.8,1948.12,37100
BR_0000262,471.27,0.53,24.61,1784.15,10800
BR_0000266,408.43,0.35,25.56,1842.12,40700
BR_0000267,386.04,0.38,25.63,1887.88,52200
BR_0000270,442.96,0.65,25.34,2231.18,1010
BR_0000289,154.79,0.54,26.81,1823.45,16200
BR_0000291,336.82,0.7,26.53,2194.55,12400
BR_0000293,370.65,0.35,26.4,2021.65,7230
BR_0000309,341.55,0.46,25.95,1862.74,255000
BR_0000311,332.87,0.49,25.99,1870.08,281000
BR_0000316,280.35,0.41,25.95,2162.81,35600
BR_0000319,304.29,0.43,26.15,1876.82,448000
BR_0000325,221.54,0.68,26.67,2420.6,4470
BR_0000326,252.66,0.55,26.46,2297.29,51500
BR_0000340,837.3,1.2,23.41,1440.12,11200
BR_0000343,816.52,1.22,24.12,1609.14,1970
BR_0000346,726.8,0.85,25.38,1624.31,3700
BR_0000347,728.31,0.89,24.88,1589.58,10600
BR_0000350,705.06,0.93,25.13,1550.33,18400
BR_0000351,735.65,1.06,24.23,1502.85,34600
BR_0000353,787.12,1.78,24.17,1451.84,2910
BR_0000355,1010.39,1.33,24.16,1464.8,4680
BR_0000356,822.16,1.69,24.63,1520.44,878
BR_0000357,730.68,1.23,24.92,1491.22,57400
BR_0000358,730.68,1.23,24.92,1491.22,57400
BR_0000360,658.19,1.51,24.38,1336.69,7210
BR_0000362,773.16,0.81,24.7,1280.04,3760
BR_0000363,656.71,1.17,24.73,1353.75,22600
BR_0000366,621.48,0.94,25.72,1317.18,2840
BR_0000368,649.46,1.23,24.96,1353.53,29600
BR_0000370,616.83,1.26,25.05,1370.83,40200
BR_0000371,669.59,1.87,25.38,1338,1040
BR_0000372,541.8,0.94,25.99,1365,12400
BR_0000373,499.56,0.84,26.2,1365.51,17700
BR_0000375,639.67,1.19,25.55,1438.52,126000
BR_0000376,634.62,1.19,25.55,1438.52,128000
BR_0000377,391.25,0.66,26.46,1501.48,8720
BR_0000379,357.54,0.51,26.72,1516.56,13900
BR_0000380,580.49,0.98,26.03,1330.51,1780
BR_0000382,406.14,0.68,26.63,1406.16,14500
BR_0000385,546.12,1.02,25.96,1447.5,185000
BR_0000387,464.37,0.68,26.46,1275.71,18000
BR_0000389,419.22,0.73,27.03,1401.75,12100
BR_0000391,404.54,0.62,26.77,1345.05,44100
BR_0000392,506.21,0.89,26.13,1459.19,242000
BR_0000396,387.23,0.53,26.83,1207.06,3120
BR_0000397,327.47,0.54,26.96,1344.55,4100
BR_0000399,479.55,0.84,26.26,1473.35,275000
BR_0000403,463.51,0.82,26.36,1478.78,297000
BR_0000406,771.74,0.77,23.53,1606.86,2080
BR_0000411,765.52,0.65,23.58,1604.3,4460
BR_0000415,635.12,0.85,24,1590.23,18400
BR_0000426,641.63,0.87,25.31,1615.22,2060
BR_0000433,457.39,0.83,26.3,1601.74,5310
BR_0000435,516.94,0.79,24.85,1595.18,76300
BR_0000437,481.38,0.71,25.08,1589.28,92300
BR_0000446,610.91,0.46,23.64,1744.92,17700
BR_0000449,478.05,0.53,24.38,1679.86,41100
BR_0000451,416.84,0.54,25.45,1612.34,194000
BR_0000455,266.78,0.3,27.31,1538.42,6610
BR_0000464,339.17,0.44,25.77,1703.98,332000
BR_0000466,236.41,0.43,27.07,1765.58,1150
BR_0000467,251.73,0.55,27.02,1727.26,1580
BR_0000470,324.9,0.44,25.86,1731.28,377000
BR_0000473,321.24,0.43,25.89,1727.82,388000
BR_0000474,376.36,0.61,25.91,1650.87,703000
BR_0000477,368.68,0.61,25.91,1650.87,746000
BR_0000479,362.46,0.58,26,1664.06,764000
BR_0000481,91.41,0.28,25.71,2725.03,3330
BR_0000482,64.97,0.28,25.7,2882.37,514
BR_0000484,81.86,0.24,25.96,2733,296
BR_0000485,77.6,0.25,26.8,2413.95,1810
BR_0000486,148.77,0.25,26.19,2474.8,10600
BR_0000489,174.07,0.37,26.26,2409.71,10800
BR_0000492,75.53,0.2,27.28,2334.4,3440
BR_0000494,71.41,0.22,27.28,2370.03,5220
BR_0000497,149.39,0.42,27.54,1964.89,25900
BR_0000498,134.44,0.41,27.51,2052.93,32200
BR_0000503,75.99,0.2,27.33,2324.03,1800
BR_0000505,66.54,0.2,27.32,2350.02,2630
BR_0000507,120.02,0.48,27.43,2067.5,4690
BR_0000510,134.21,0.4,27.27,1834.82,32900
BR_0000512,64.02,0.2,27.37,2016.27,3870
BR_0000513,51.56,0.19,27.52,2371.17,724
BR_0000514,263.73,0.59,26.94,1294.74,5480
BR_0000517,222.31,0.71,27.16,1252.07,5930
BR_0000518,192.72,0.59,27.2,1400.14,35400
BR_0000519,336.24,0.68,26.51,1176.88,3730
BR_0000522,288.1,0.64,26.7,1074.64,3000
BR_0000525,270.73,0.56,26.72,1129.82,13200
BR_0000526,257.21,0.52,26.77,1136,15400
BR_0000527,212.12,0.5,27.32,1082.92,1320
BR_0000530,219.94,0.5,26.99,1202.11,24000
BR_0000531,212.09,0.5,27.06,1224.39,25200
BR_0000532,210.44,0.48,27.07,1232.14,25500
BR_0000534,306.96,0.53,26.54,1215.32,4510
BR_0000535,242.6,0.52,26.68,1181.37,3590
BR_0000540,208.87,0.51,27.03,1264.13,20300
BR_0000542,389.67,0.9,26.67,1218.67,6060
BR_0000544,377.88,0.78,26.61,1190.75,5750
BR_0000545,356.72,0.74,26.77,1196.65,6890
BR_0000546,362.82,0.84,26.76,1187.45,15000
BR_0000548,278,0.68,27.41,1173.38,5320
BR_0000549,305,0.71,27.14,1155.85,27300
BR_0000550,279.34,0.66,27.27,1194.34,32700
BR_0000551,120.78,0.29,27.71,1340.27,5560
BR_0000552,236.04,0.57,27.41,1272.63,43800
BR_0000558,215.37,0.53,27.48,1340.82,49900
BR_0000561,87.01,0.23,27.77,1604.4,4210
BR_0000563,87.27,0.19,27.61,1670.75,3990
BR_0000565,81.26,0.23,27.71,1665.61,12600
BR_0000570,458.63,0.82,26.43,1166.07,25500
BR_0000574,472.82,0.94,26.99,1008.72,15600
BR_0000586,415.95,0.76,26.7,1039.9,140000
BR_0000601,390.86,0.7,26.8,916.28,235000
BR_0000605,418.08,0.82,26.56,837.55,19200
BR_0000607,390.31,0.75,26.77,898.24,43400
BR_0000609,359.22,0.74,26.97,979.42,51400
BR_0000614,149.92,0.24,27.52,1371.28,11200
BR_0000617,202.33,0.49,27.18,1255.02,21800
BR_0000625,302.92,0.91,26.51,846.88,3640
BR_0000628,331.82,1,26.35,706.65,2370
BR_0000629,306.03,0.93,26.63,746.56,2800
BR_0000633,150.78,0.43,27.55,798.41,46
BR_0000635,176.77,0.74,27.01,805.67,2680
BR_0000639,522.01,2.45,26.42,1273.71,223
BR_0000642,225.29,1.02,26.97,861.54,4100
BR_0000646,572.89,0.68,25.8,650.43,3460
BR_0000649,553.19,1.02,25.55,765.75,3530
BR_0000650,542.28,1.08,25.61,816.73,6000
BR_0000655,617.03,0.82,25.37,832.45,4230
BR_0000657,529.7,1.05,25.61,879.81,8840
BR_0000659,454.81,0.86,26.15,752.3,39600
BR_0000665,324.48,0.73,26.93,751.53,17300
BR_0000670,242.07,0.84,27.67,809.43,7690
BR_0000682,490.35,0.96,25.2,862.88,4560
BR_0000684,452.67,0.96,25.33,859.38,8580
BR_0000685,401.12,0.88,25.95,845.17,15200
BR_0000689,372.62,0.91,25.85,782.41,21600
BR_0000692,375.14,0.88,26.14,614.78,9710
BR_0000695,340.72,0.89,26.22,726.93,38100
BR_0000710,388.25,0.94,24.98,777.07,3450
BR_0000711,392.81,1.11,24.84,925.89,875
BR_0000713,309.31,0.87,25.09,972.84,2950
BR_0000715,604.57,0.57,24.03,622.84,5030
BR_0000717,555.71,0.49,24.38,557.58,13700
BR_0000725,170.52,0.96,25.21,1131.52,472
BR_0000727,270.04,0.96,25.19,1047.37,692
BR_0000730,628.49,1.31,23.5,548.56,1560
BR_0000733,495.17,1.16,23.99,623.81,5580
BR_0000740,421.69,1.03,24.2,747.99,7290
BR_0000746,162.55,0.72,24.54,1380.32,372
BR_0000751,685.31,1.05,23.28,833.17,2960
BR_0000755,348.62,0.99,24.05,1371.53,1310
BR_0000757,630.08,0.86,22.84,680.03,2610
BR_0000760,546.92,1.1,23.1,842.38,4910
BR_0000763,288.13,1.01,23.89,1407.36,756
BR_0000766,251.1,1.23,24.29,1534.33,787
BR_0000768,631.35,1.17,23.45,1118.25,767
BR_0000769,662.49,0.91,22.86,938.98,1170
BR_0000770,580.82,1.11,23.28,1070.55,2900
BR_0000772,505.41,1.09,23.55,1211.81,3560
BR_0000773,661.4,1.11,23.45,994.52,1340
BR_0000775,498.93,1.1,23.55,1130.97,2600
BR_0000784,1002.23,2.16,20.97,1586.96,757
BR_0000788,780.47,0.91,21.53,1411.18,296
BR_0000793,975.13,1.33,21.25,1532.11,569
BR_0000798,709.88,0.62,22.1,1416.6,650
BR_0000805,844.18,0.76,21.17,1472.56,1040
BR_0000807,850.82,0.81,21.13,1489.87,1910
BR_0000809,1005.86,0.78,21.46,1547.52,338
BR_0000812,864.01,0.98,21.84,1470.64,1560
BR_0000818,681.17,0.71,22.95,1307.37,769
BR_0000820,703.11,0.72,22.88,1364.56,471
BR_0000823,1002.43,0.86,20.31,1454.17,462
BR_0000837,1002.23,0.96,20.33,1479.89,2770
BR_0000840,993.57,1.05,20.38,1503.43,4120
BR_0000841,943.57,1.44,21.21,1546.95,670
BR_0000868,908.49,1,21.16,1474.24,8750
BR_0000872,917.65,1.03,22.38,1465.57,1730
BR_0000873,887.73,1.15,22.58,1419.98,2214.8
BR_0000874,893.03,0.95,22.93,1364.64,970
BR_0000876,911.01,0.84,22.7,1424.04,1200
BR_0000879,862.81,0.88,22.99,1351.39,5186.2
BR_0000880,791.32,0.81,22.27,1316.1,62200
BR_0000883,1174.37,1.72,19.63,1523.4,175
BR_0000890,1102.9,1.63,19.63,1545.87,1550
BR_0000898,987.91,1.49,20.99,1494.49,3730
BR_0000904,901.83,1.22,21.24,1457.22,7080
BR_0000906,791.52,0.85,22.28,1340.98,238
BR_0000909,772.24,0.79,22.32,1320.53,469
BR_0000914,834.24,1.07,21.54,1393.88,10700
BR_0000915,638.57,0.52,23.09,1073.14,826
BR_0000921,1025.99,1.86,21.23,1323.56,3980
BR_0000925,905.82,2.32,21.79,1015.51,1420
BR_0000929,792.86,1.32,22.26,1003.04,4350
BR_0000931,868.71,1.41,22.71,1106.46,532
BR_0000935,851.11,0.63,22.73,1033.94,1310
BR_0000937,756.76,1.9,23.33,1438.87,464
BR_0000939,792.5,1.25,23.4,1388.07,248
BR_0000940,693.26,0.95,23.76,1363.19,2000
BR_0000941,677.1,0.9,23.76,1368.77,7750
BR_0000945,660.25,0.79,23.71,1282.02,1590
BR_0000946,762.89,1.42,23.56,1344.85,551
BR_0000970,877.98,0.8,22.72,1372.29,5360
BR_0000973,793.07,0.68,23.43,1307.43,424
BR_0000974,736.47,0.71,23.49,1292.33,680
BR_0000975,817.26,1.01,23.59,1311.54,553
BR_0000980,887.34,0.94,23.21,1290.7,210
BR_0000982,760.62,0.6,23.63,1141,5700
BR_0000983,701.16,0.75,23.59,1258.92,40900
BR_0000989,784.72,1.77,23.64,1304.65,3020
BR_0000990,882.94,1.14,24.25,1334.57,3160
BR_0000992,780.94,1.23,24.15,1365.6,11800
BR_0000994,753.24,1.03,24.04,1308.79,18600
BR_0000995,778.4,0.66,23.95,1133.31,2300
BR_0000999,725.37,0.95,24.04,1260.22,24600
BR_0001001,688.13,0.57,24.32,1057.87,3230
BR_0001004,745.11,0.86,22.94,1267.32,194000
BR_0001009,628.48,0.64,25.03,892.04,624
BR_0001013,660.66,0.76,23.63,908.82,12200
BR_0001015,634.82,0.88,23.91,847.41,29400
BR_0001019,732.53,0.68,24.46,1091.46,5850
BR_0001020,736,0.64,24.46,1133.11,12600
BR_0001021,732.59,0.56,24.39,1009.33,2380
BR_0001024,721.64,0.65,24.53,1098.55,16300
BR_0001027,709.67,0.8,23.25,1194.07,271000
BR_0001029,791.98,0.45,24.87,1021.21,3900
BR_0001037,794.9,0.48,24.79,1016.13,5540
BR_0001040,759.67,0.49,24.67,1006.03,9550
BR_0001041,761.46,0.44,24.81,1047.38,29600
BR_0001042,753.92,0.46,24.87,1024.55,31000
BR_0001043,710.59,0.77,23.39,1186.11,309000
BR_0001044,705.62,0.78,23.52,1181.71,314000
BR_0001050,776.26,0.28,25.15,1195.29,4950
BR_0001052,793.88,0.26,25.27,1254.7,6350
BR_0001054,761.99,0.38,24.86,981.8,4470
BR_0001057,758.66,0.43,25.39,1270.85,5380
BR_0001060,805.6,0.16,25.29,1227.84,2710
BR_0001065,757.7,0.43,25.26,1093.37,33100
BR_0001068,717.13,0.48,25.29,1080.91,39600
BR_0001069,736.33,0.58,25.47,1102.73,6930
BR_0001074,663.88,0.61,25.58,1019.03,22000
BR_0001079,780.69,1.66,23.78,586.44,6750
BR_0001089,507.12,0.56,25.4,445.64,3540
BR_0001095,661.83,0.74,24.53,997.45,561000
BR_0001099,579.58,0.8,24.99,746.46,9660
BR_0001110,636.08,0.75,24.6,980.76,631000
BR_0001111,156.98,0.52,25.87,934.99,735
BR_0001117,484.2,0.66,24.99,495.41,7300
BR_0001118,489.76,0.77,25.12,515.52,8730
BR_0001121,394.41,0.71,25.23,595.66,15900
BR_0001123,300.42,0.7,25.11,727.32,2940
BR_0001124,247.08,0.63,25.19,816.02,4480
BR_0001132,466.69,0.75,24.6,560.42,18300
BR_0001133,435.41,0.73,24.64,556.43,26100
BR_0001137,394.07,0.72,24.79,613.24,35200
BR_0001138,289.1,0.65,24.93,728.39,2890
BR_0001139,240.01,0.56,25.08,943.87,4380
BR_0001140,196.45,0.42,25.1,1197.16,1200
BR_0001141,196.45,0.42,25.1,1197.16,1200
BR_0001144,242.3,0.41,24.76,865.88,1210
BR_0001148,214.08,0.51,24.83,1016.03,3210
BR_0001150,189.97,0.46,24.89,1090.49,4480
BR_0001151,184.39,0.45,24.93,1122.79,4700
BR_0001158,199.73,0.13,24.77,1065.38,175
BR_0001159,191.99,0.4,24.77,1107.64,390
BR_0001162,962.79,1.35,22.44,710.39,6180
BR_0001165,875.69,0.99,23.26,774.61,731
BR_0001172,651.21,1.2,23.39,682.14,32000
BR_0001176,639.88,0.87,23.77,663.45,5040
BR_0001177,540.76,0.69,24.06,622.09,7130
BR_0001190,330.18,1.1,24.02,1269.97,270
BR_0001191,227.93,0.72,24.44,1500.8,1110
BR_0001192,338.21,1.27,23.88,1360.43,1110
BR_0001196,263.58,0.61,24.89,1721.21,263
BR_0001199,924.15,3.07,23.07,720.76,3370
BR_0001205,673.81,1.34,23.72,630.63,13500
BR_0001209,685.27,1.43,23.37,665.02,32500
BR_0001213,628.26,1.45,23.37,727.98,47200
BR_0001215,642.72,1.7,22.91,768.89,2730
BR_0001218,601.28,1.44,23.47,777.07,54000
BR_0001222,232.12,1.55,24.53,1298.24,1180
BR_0001223,300.15,0.92,24,868.25,827
BR_0001224,268.08,1.05,24.02,972.5,2260
BR_0001226,310.74,1.46,24.14,1062.3,997
BR_0001227,266.37,1.19,24.1,1038.07,3850
BR_0001228,262.52,1.17,24.13,1077.48,3950
BR_0001231,922.08,1.13,22.81,808.74,5520
BR_0001234,864.93,0.97,22.77,769.28,16400
BR_0001237,777.78,1.03,22.98,754.42,26100
BR_0001239,847.07,0.95,22.3,702.43,1440
BR_0001242,719,1.04,23.14,788.75,29400
BR_0001250,924.42,1.73,21.46,1122.89,7720
BR_0001252,928.64,1.23,22.13,936.88,4050
BR_0001255,842.5,0.98,22.75,887.31,2290
BR_0001256,834.87,1.53,22.51,994.15,23400
BR_0001260,882.79,1.55,21.49,1148.84,2850
BR_0001262,916.66,1.52,21.88,1121.12,1720
BR_0001272,795.03,1.48,22.78,912.56,1180
BR_0001274,807.03,1.55,22.56,986.45,40600
BR_0001279,777.27,1.59,23.56,841.07,1350
BR_0001283,634.33,1.69,23.83,860.61,1900
BR_0001285,721.16,1.56,23.16,761.63,2820
BR_0001293,246.88,1.27,24.75,1085.39,751
BR_0001294,586.61,1.64,23.3,952.21,936
BR_0001298,308.74,1.09,24.54,1053.79,1800
BR_0001299,291.91,1.09,24.62,1059.09,1980
BR_0001304,313.73,0.92,24.43,1018.54,4720
BR_0001306,641.69,1.31,22.81,990.77,2080
BR_0001308,604.55,1.45,23.1,948.94,5100
BR_0001313,439.84,1.13,23.7,952.6,13700
BR_0001323,479.32,1.62,23.37,1029.39,424
BR_0001326,338.75,0.88,23.73,1059.11,6930
BR_0001330,439.27,1.56,23.51,1080.87,2500
BR_0001332,370.93,1.35,23.67,1090.17,4190
BR_0001333,333.63,1.04,23.89,1080.21,12000
BR_0001349,765.15,0.92,20.97,1385.98,6230
BR_0001364,904.39,1.75,20.77,1432.24,1370
BR_0001369,742.29,1.11,21.05,1391.13,10100
BR_0001374,789.2,1.62,20.47,1294.94,1350
BR_0001377,754.74,1.59,20.81,1290.72,1870
BR_0001379,691.68,1.23,21.27,1358.79,15900
BR_0001382,599.51,1.26,21.86,1230.02,855
BR_0001391,859.17,1.92,21.16,1460.69,3060
BR_0001402,816.16,1.82,21.73,1409.1,5270
BR_0001404,689.61,1.39,21.45,1356.12,24200
BR_0001411,796.46,2.24,21.55,1450.41,1260
BR_0001414,753.18,1.72,21.63,1355.71,10200
BR_0001416,774.88,1.23,21.62,1314.9,1970
BR_0001420,683.85,1.36,21.61,1326.82,40500
BR_0001421,777.64,1.04,21.18,1255,2570
BR_0001422,600.56,0.93,22.06,1111.44,622
BR_0001423,515.15,1.72,22.74,1048.48,2670
BR_0001424,583.45,1.32,22.07,1153.62,9770
BR_0001427,450.96,1.38,23.24,1043.53,1390
BR_0001428,635.1,1.32,21.82,1265.43,55100
BR_0001432,542.23,1.83,23.04,1175.82,3220
BR_0001436,616.1,1.37,22.06,1237.88,61200
BR_0001444,808.68,2.12,21.26,1268.26,2260
BR_0001445,798.95,2.13,21.33,1265.45,2350
BR_0001453,530,2.36,22.12,1196.83,1180
BR_0001457,767.78,3.19,20.91,1243.94,435
BR_0001459,695.03,2.38,21.61,1225.34,1330
BR_0001464,440.59,2.4,22.98,1201.46,893
BR_0001468,592.68,1.57,22.28,1223.87,76400
BR_0001470,298.23,1.66,23.85,1129.56,920
BR_0001472,567.48,1.56,22.53,1215.63,82100
BR_0001475,801.59,1.24,23.56,1269.58,88
BR_0001481,790.78,1.72,21.8,1238.03,1690
BR_0001484,509.74,3.29,23.67,1170.64,152
BR_0001485,1011.17,4.07,20.91,1255.09,205
BR_0001487,861.62,1.92,20.72,1230.48,566
BR_0001488,846.55,2.6,20.92,1224.04,1010
BR_0001491,695.83,2.69,21.52,1192.91,2720
BR_0001492,911.85,2.63,20.91,1223.09,410
BR_0001494,732.69,2.88,22.15,1192.48,1420
BR_0001495,668.89,2.81,21.83,1189.32,4510
BR_0001497,611.66,2.63,21.86,1183.51,5170
BR_0001499,285.95,2.86,23.63,1088.78,478
BR_0001505,500.48,2.07,23.11,1138.7,365
BR_0001506,591.13,2.03,22.18,1173.58,3620
BR_0001542,855.22,2.27,18.39,1548.71,407
BR_0001568,828.82,1.56,19.26,1661.67,10300
BR_0001572,1062.54,5.82,19,1695.77,171
BR_0001574,657.94,1.05,19,1590.57,36.4
BR_0001575,652.48,3.28,19.01,1493.88,39.4
BR_0001582,820.81,1.61,19.04,1660.04,12200
BR_0001583,820.81,1.61,19.04,1660.04,12200
BR_0001594,724.59,3.51,20.9,1622.25,342
BR_0001613,1000.43,2.61,19.81,1655.74,930
BR_0001620,815.35,0.81,20.33,1494.51,969
BR_0001625,899.47,1.8,19.86,1473.07,2240
BR_0001633,875.32,2.58,19.67,1560.06,1800
BR_0001635,643.27,1.91,21.26,1387.25,256
BR_0001647,446.67,0.72,21.98,1380,348
BR_0001648,354.69,0.97,22.3,1331.53,590
BR_0001649,707.1,1.6,20.84,1483.4,784
BR_0001650,752.36,1.53,20.77,1516.07,322
BR_0001657,459.64,1.49,21.84,1312.96,1280
BR_0001664,619.37,1.57,20.94,1458.39,1770
BR_0001669,669.46,1.71,20.63,1524.79,45300
BR_0001672,1210.18,3.09,19.49,1582.34,234
BR_0001676,1104.3,2.4,19.49,1495.45,170
BR_0001678,890.7,2.4,20.25,1379.59,1370
BR_0001679,765.04,2.55,21.28,1328.45,1810
BR_0001686,455.55,1.65,22.04,1299.34,1120
BR_0001687,661.11,1.73,20.73,1510.47,48900
BR_0001692,963.45,2.42,19.96,1344.11,393
BR_0001693,879.71,2.13,20.05,1333.85,744
BR_0001702,1161.7,1.89,19.89,1499.9,67
BR_0001708,569.75,6.01,21.5,1341.85,289
BR_0001718,1001.26,6.69,20.55,2059.03,79
BR_0001721,937.93,0.89,22.59,1502.71,3800
BR_0001728,910.27,0.62,22.74,1434.83,8370
BR_0001729,897.95,0.63,22.87,1442.71,10700
BR_0001730,912.27,0.51,23.29,1456.34,922
